,OFFER,RETAILER,BRAND,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO
0,"Beyond Meat® Plant-Based products, spend $25",,BEYOND MEAT,Plant-Based Meat,Meat & Seafood
1,"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",TARGET,BEYOND MEAT,Plant-Based Meat,Meat & Seafood
2,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",H-E-B,BEYOND MEAT,Plant-Based Meat,Meat & Seafood
3,"Beyond Steak™ Plant-Based seared tips, 10 ounce at H-E-B",H-E-B,BEYOND MEAT,Plant-Based Meat,Meat & Seafood
4,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at Target",TARGET,BEYOND MEAT,Plant-Based Meat,Meat & Seafood
5,"Beyond Meat® Plant-Based products, spend $15",,BEYOND MEAT,Plant-Based Meat,Meat & Seafood
6,"Beyond Meat® Plant-Based products, spend $20",,BEYOND MEAT,Plant-Based Meat,Meat & Seafood
7,"Beyond Meat® Plant-Based products, spend $25",,BEYOND MEAT,Frozen Plant-Based Meat,Frozen
8,"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",TARGET,BEYOND MEAT,Frozen Plant-Based Meat,Frozen
9,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",H-E-B,BEYOND MEAT,Frozen Plant-Based Meat,Frozen
10,"Beyond Steak™ Plant-Based seared tips, 10 ounce at H-E-B",H-E-B,BEYOND MEAT,Frozen Plant-Based Meat,Frozen
11,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at Target",TARGET,BEYOND MEAT,Frozen Plant-Based Meat,Frozen
12,"Beyond Meat® Plant-Based products, spend $15",,BEYOND MEAT,Frozen Plant-Based Meat,Frozen
13,"Beyond Meat® Plant-Based products, spend $20",,BEYOND MEAT,Frozen Plant-Based Meat,Frozen
14,"Beyond Meat® Plant-Based products, spend $25",,BEYOND MEAT,Packaged Meat,Pantry
15,"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",TARGET,BEYOND MEAT,Packaged Meat,Pantry
16,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",H-E-B,BEYOND MEAT,Packaged Meat,Pantry
17,"Beyond Steak™ Plant-Based seared tips, 10 ounce at H-E-B",H-E-B,BEYOND MEAT,Packaged Meat,Pantry
18,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at Target",TARGET,BEYOND MEAT,Packaged Meat,Pantry
19,"Beyond Meat® Plant-Based products, spend $15",,BEYOND MEAT,Packaged Meat,Pantry
